Cell type	c01_Malignant	c02_Malignant	c03_Malignant	c04_Malignant	c05_Malignant	c06_Fibroblast	c07_Fibroblast	c08_Fibroblast	c09_Fibroblast	c_10Macrophage	c11_Macrophage	c12_Macrophage	c13_Macrophage	c14_DC	c15_DC	c16_B cells	c17_T cells	c18_Erythrocytes
JADE1	0	0.3628398	0.234489734	0.266968371	0.395624589	0.433957081	0	0.116771033	0.123801598	0.060228582	0.034063133	0.16946176	0.016098248	0.21182902	0.129831779	0.367000312	0.500583982	0.353208534
SCLT1	0	0.397862577	0.092445953	0.292479143	0.275694359	0.41693485	0.092675212	0.139239171	0.163103238	0.139816595	0.073968201	0.223418185	0.06445505	0	0.153976991	0.317664038	0.462353637	0.142390328
C4orf33	0	0.243047001	0.187208522	0.290718282	0.458163761	0.655182704	0.592578132	0.301429299	0.612005297	0.174095876	0.122037146	0.331074362	0.081639	0.167090997	0.053807229	0.226286376	0.122531591	0.678494676
ELF2	0	0.418577286	0.714843971	0.437133728	0.456515238	0.708576058	0.118606067	0.569470342	0.642968186	0.265852213	0.286246165	0.291600673	0.178938866	0	0.620561568	0.149006685	0.478474751	0.610743649
MGARP	0	0.014735187	0.060859594	0.106704653	0.253562358	1.054230022	0.413928453	0.962614112	1.700213435	0.046362864	0.035819581	0	0.010473678	0	0	0.02285409	0	0
NDUFC1	3.988941641	4.207670068	4.138352216	3.190724027	2.782139908	3.505695767	2.886057813	3.672139252	4.21274006	2.522925575	2.966213305	2.685143237	2.116265502	2.367112471	1.578669369	3.498396986	1.407478359	2.786442198
NAA15	0	0.528233556	0.327404542	0.404185424	0.491498108	0.571561366	0.111467375	0.268710129	0.590924041	0.140705043	0.108431943	0.059662584	0.04718302	0.201283899	0.373153994	0.390166561	0.11966397	0.507531148
RP11-83A24.2	0.25135125	0.372773705	0.404581691	0.345774226	0.419775386	0.220411606	0.13233485	0.186875801	0.222329233	0.084867268	0.166492632	0.098412025	0.034039804	0.216175857	0	0.188754102	0.20030967	0.235504532
RAB33B	0	0.147710429	0.028827542	0.174519392	0.237923883	0.261235761	0.107682124	0.076539471	0.064217171	0.027167451	0.038138626	0.082130287	0.018144159	0	0.081083043	0.074036944	0.050210102	0.131647296
SETD7	0	0.238017668	0.054383346	0.138827599	0.180500583	0.572475667	0	0.361030023	0.485473971	0.130503418	0.129166909	0.148648022	0.147598001	0.159282463	0.30874889	0.088512553	0	0.071468223
MGST2	0.550184408	1.736432905	1.872817621	2.145374987	1.636475817	2.449919414	1.244534786	1.438034008	2.274076502	1.545701008	0.972636549	1.453289977	1.285493007	2.056109811	0.296264732	0.984677635	0.582783078	1.847862243
MAML3	0	0.034275998	0.14041133	0.101211629	0.050052114	0.076782002	0	0.021088859	0.051040776	0.057378226	0	0.133531712	0.047477462	0.148594466	0.075703811	0.030449637	0.0817866	0
SCOC	1.825211229	2.395225658	2.081551824	2.337947587	2.275023367	2.450737571	1.579552874	1.616464966	2.382794737	0.455417119	0.391729917	0.52800716	0.32461835	0.662390627	0.611770536	0.77762749	0.729888064	1.92821948
CLGN	0.336696528	0.144867821	0.707135305	0.069375929	0.599997532	0.291889017	0.085636721	0.035381316	0.02474678	0.007747538	0	0	0	0	0	0.01837729	0	0.220184875
ELMOD2	0	0.279588778	0.402286365	0.452218263	0.448759538	0.554106804	0.416132731	0.509881695	0.862811215	0.251843709	0.131444079	0.140790974	0.150209566	0	0.125600466	0.651536537	0.068219041	0.284915064
TBC1D9	0	0.254532125	0.291880094	0.108443572	0.25231885	0.36087234	0.191229303	0.421699572	0.433433939	0.105436302	0.068320873	0.088634417	0.095488587	0	0.646504794	0.317800322	0	0
RP11-102N12.3	0	0.060084087	0.066585756	0.07542062	0.089354478	0.110657596	0	0.055566806	0.043283888	0.047096562	0.034276495	0.072818591	0.039665465	0	0.13541403	0.464031289	0	0
ZNF330	0.614891186	1.500813399	0.730783982	1.329207936	1.469491635	1.976444878	0.94549176	1.697250494	2.169577181	0.840772637	0.541760211	0.816482966	0.864668627	0	0.482608103	0.774081691	0.520777594	0.416475275
RP11-362F19.1	0	0.016880172	0.626377267	0	0.034353498	0.050830393	0	0.006109796	0.023459115	0.07028492	0.067075386	0.029873056	0.047695856	0	0.060664574	0	0	0
IL15	0	0.557817473	0.175230088	0.521565997	0.300397466	1.179071181	0.186052385	0.356865985	0.290461692	0.088618379	0.074457348	0.153843341	0.07422495	0.399602675	2.446139638	0.106588509	0.068781392	0.124145275
USP38	0.216914481	0.397529736	0.17504239	0.162952972	0.379941997	0.239114806	0.216232522	0.149111891	0.29934549	0.078773557	0.098002779	0.17462163	0.040062148	0.161583327	0.068914836	0.150223956	0.056365834	0.574725952
SMARCA5	0.208082893	0.912807206	0.952139708	0.604903676	1.213863438	0.86820283	0.828855947	0.854893594	1.147468364	0.415542545	0.29939859	0.198619872	0.173187716	0.401519357	0.445831613	0.629235183	0.412377955	1.265067583
GYPA	0	0	0.052542667	0	0.011738296	0	0	0	0	0	0	0	0	0	0	0.007700611	0.030023441	2.39900589
HHIP-AS1	0	0.013397841	0	0.072312531	0.108018229	0.269141093	0.117136278	0.123399648	0.1483355	0.015405241	0	0.031535249	0.001490904	0	0	0.011213259	0.032981221	0
ANAPC10	0	1.013947714	0.611601532	0.81887197	0.896741664	1.00328852	0.414343048	0.702009222	0.859746692	0.463076622	0.507094186	0.392628309	0.336890485	0.558930207	0.442204019	0.634302434	0.602753043	0.64598472
ABCE1	0	0.810663878	0.664298045	0.632119682	1.035463208	1.166919554	0.574968782	0.709542322	1.340160406	0.433531898	0.748739705	0.087564796	0.100843854	0.580636372	0.301553885	0.787434084	0.378539199	1.005590349
OTUD4	0	0.318172716	0.51534289	0.118174717	0.205455443	0.663160793	0.104395697	0.189237867	0.357684296	0.081112494	0.030821417	0.083058471	0.043587569	0.186712969	0.059399868	0.169352111	0.024957751	0
SMAD1	0.311031772	0.343257294	0.34145709	0.502949266	0.365473841	0.429761832	0.198662703	0.407978836	0.333867389	0.03325156	0	0.058717889	0.018974333	0	0	0.076689169	0.048579302	0.140733305
MMAA	0.252011721	0.161243409	0.054529186	0.057620208	0.089118362	0.113566995	0.085937708	0.135661144	0.174715129	0.062718562	0.10079668	0.028029052	0.043933128	0	0.063243138	0.045711318	0.031273239	0.140733305
LSM6	0.494344516	2.050405462	1.345822469	1.624729818	1.396407897	1.807184358	1.256526406	1.797281065	2.413167533	1.949586155	1.47250632	1.733321198	1.064663085	1.875804134	1.295261399	1.37199236	1.678349097	2.530319943
TMEM184C	0	0.315712114	0.5553201	0.247298162	0.469224571	0.531754195	0.176049341	0.249472592	0.302614213	0.151286534	0.173422495	0.1184204	0.059374484	0.169904633	0.126354763	0.115858995	0.027570764	0.393398837
PRMT10	0	0.197361599	0.172019553	0.154032291	0.275993211	0.226199895	0	0.130152785	0.298421125	0.119393496	0.103804685	0.028312966	0.052807218	0.358983542	0.185651248	0.139837748	0.158535397	0.275529284
ARHGAP10	0	0.18586815	0.043603073	0.064332585	0.074196896	0.293185681	0.107682124	0.241385494	0.361053769	0.191969069	0.241592311	0.057011875	0.106967559	0	1.440248661	0.019758459	0.025832308	0.107142995
DCLK2	0	0.020599538	0.011327751	0.02236747	0.020081277	0.101081435	0	0.037938074	0.082232222	0.0029163	0.030821417	0.093648162	0.004885881	0	0	0	0.027289289	0
LRBA	0.216914481	0.719755617	0.699760343	0.259409453	0.300597543	0.482207792	0	0.121678876	0.212363825	0.061689822	0.035924027	0.021390734	0.025884873	0.188480665	0.190793427	0.237625925	0.180156966	0.511717915
RPS3A	3.700125052	4.465003701	6.203435036	3.53543491	5.091003776	5.52540434	5.460384783	4.325108458	7.472156961	7.052530926	4.990129766	2.897031073	1.914474493	5.364756009	4.76735244	4.127641156	5.358814522	5.309585015
SH3D19	0	0.30989936	0.201911386	0.09336181	0.187520156	0.627478355	0.249595066	0.356800613	0.50689524	0.046859721	0.026745803	0	0.007439493	0	0.061388695	0.011493753	0	0.064536312
RP11-372K14.2	0	0	0.026585698	0.030013895	0.223278824	0.049335814	0	0.036258467	0.009828526	0.008296409	0	0	0.012876523	0	0.132356364	0.019138426	0.027544936	0
PET112	0	0.241783062	0.402067363	0.402917841	0.578574838	0.833094219	0.29950218	0.430240058	0.618607987	0.184345248	0.095584453	0.26478775	0.104781411	0.388203435	0.058176999	0.243955999	0.199300443	0.639395923
FBXW7	0	0.288224158	0.194830006	0.084200639	0.115869633	0.2613091	0	0.39303495	0.193542401	0.050455504	0.101025415	0.134418314	0.043127278	0	0.068750604	0.862151643	0.121813793	0.201003399
TMEM154	0	0.010997854	0.055079249	0.041275562	0.115005072	0.408059698	0.094074324	0.269803308	0.382687738	0.066611421	0.035819581	0.053422876	0.025996546	0.409556595	0.136208411	0.297966097	0.047486406	0
RP11-768B22.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066177938	0.534671018	0.021137364	0
ARFIP1	0.215051343	0.7034894	0.509186886	0.539677575	0.618673407	0.921371254	0.459140614	0.500018625	0.801340805	0.190507505	0.166387706	0.13383285	0.123453322	0.402849887	0	0.300272614	0.220195907	0.360913479
MND1	0.372535616	0.611273813	0.358297517	0.693099224	0.243537108	0.31585861	0.216785563	0.127014883	0.161389574	0.020533041	0	0.321871917	0.007054098	0	0	0.467201154	0.520431784	1.146322859
KIAA0922	0	0.042632413	0.015238388	0.054940218	0.103348644	0.21817404	0	0.082545994	0.088501102	0.090346314	0	0.15993648	0.025628315	0.233231509	0.437472449	0.050428667	0.079425003	0.377413345
TLR2	0	0.170421236	0.251325155	0.025596683	0.15046833	0.432682583	0.351605469	0.31505799	0.578079252	1.065354792	0.575342796	0.831385398	0.401924778	0.213383102	0	0	0.029246495	0
PLRG1	0.52750079	1.118283225	0.975940283	1.358845894	1.758679179	2.262966656	0.814658582	1.435388846	1.999210142	0.563017551	0.348373272	0.304065038	0.261170375	0.371740843	0.744005689	1.042725203	0.589658087	1.465259238
MAP9	0	0.466515497	0.511339157	0.427018111	0.878631911	1.112295096	0.504088546	0.545099877	0.830087533	0.013551991	0	0	0.005980783	0	0	0.076620142	0.136531471	0.186744944
TDO2	0	0.011935087	0.065822782	0.239521913	0.196877419	1.34923045	0.834869734	2.87332095	2.656151757	0.170436033	0	0.112600392	0.091453282	0	0	0.011239457	0.021025791	0
CTSO	0.509282668	0.469464695	0.174171367	0.316726667	0.319006318	1.118941828	0.278686173	0.735898633	1.057411511	0.167603024	0.258217152	0.10501516	0.0945428	0	0.061541203	0.078857823	0.255408107	0
PDGFC	0	0.256848774	0.416020083	0.307872771	0.406323207	0.677650628	0.084725618	0.135037505	0.132948732	0.022538222	0.037559209	0.027659192	0.015607101	0	0.115464821	0.010507635	0	0.067031139
GRIA2	0	0	0	0.023005167	0.031955094	0.052400608	0	0.933911575	1.073195315	0.001268206	0	0	0.004512431	0	0	0	0	0
FAM198B	0	0.016177754	0.020812183	0.047138395	0.033070107	0.596085679	0.093006954	0.955354056	0.955176238	0.3327627	0.278241341	0.267479182	0.169257742	0.159282463	0.060227883	0	0	0
RP11-597D13.9	0	0	0	0	0	0.105559265	0	0.081823256	0.067189785	0.050820701	0	0.032741374	0.033776087	0.161583327	0	0.012769572	0	0.153899407
TMEM144	0	0.142975791	0.024294948	0.067990121	0.113115217	0.074514847	0.090264202	0.054346083	0.036653522	0.042056766	0.043824819	0.058134997	0.074563735	0	0	0	0	0
C4orf46	0	0.351924969	0.186154347	0.327185895	0.546100292	0.488214488	0.112879852	0.186096204	0.309358821	0.089928791	0	0.111566048	0.054723821	0	0.472639846	0.382315307	0.355662597	0.27614158
ETFDH	0	0.423951145	0.443824729	0.437172949	0.454441042	0.862673957	0.211287902	0.551236273	0.971037169	0.244635122	0.101104788	0.126086961	0.10792358	0.196130818	0	0.716346257	0.317662868	1.013725554
PPID	0.774958738	1.044464578	1.114932916	1.127217307	1.513942284	1.429505484	1.105620155	0.659606746	1.429682011	0.680604675	0.4052156	0.481639286	0.242742393	0.488321967	0.568192445	0.893006291	0.749142942	1.739912983
FNIP2	0	0.200820731	0.071663064	0.071574556	0.089012927	0.17606513	0.083148834	0.13926556	0.157483295	0.159253249	0.126735288	0.052338826	0.131234418	0.435860569	0.130373532	0	0.052411807	0.163650487
RAPGEF2	0	0.185908887	0.222254558	0	0.070113894	0.180224419	0.19165635	0.049668542	0.093920797	0.087840728	0.214578082	0.081495313	0.063130871	0	0.167494429	0.078771028	0	0.115268441
NAF1	0	0.350707628	0.549320437	0.43776935	0.702494218	0.573341742	0.140536657	0.299900127	0.609733657	0.1327916	0.148460054	0	0.067074533	0.41190329	0.177378987	0.273626482	0.267363661	0.675664293
TMA16	0.482869376	1.493885513	0.61388736	1.042918712	1.013761922	1.370811925	0.909289052	1.122977304	1.579459197	0.579878148	0.338415773	0.291634668	0.18776473	0.576742219	0.306648185	1.519207235	0.607271553	1.539750235
1-Mar	0	0.078805914	0.189294272	0.057248837	0.132288052	0.105169923	0	0.071856416	0.230739423	0.822457562	0.983361719	0.414827878	0.510488136	1.30079493	0	0	0.02780915	0.195209919
TMEM192	0.279293173	0.598057724	0.635037764	0.346393119	0.41213927	0.823930013	0.163881868	0.331807965	0.634343024	0.30326152	0.211381181	0.286565704	0.175152329	0	0.117491753	0.246985567	0.323919619	0.905781773
KLHL2	0	0.218044336	0.082691389	0.158582499	0.179977502	0.154023076	0.095396341	0.078036362	0.129183099	0.102018253	0.102528276	0.075464717	0.044747263	0.356617601	0.13729601	0.01755149	0	0
MSMO1	0	0.73898352	0.63458487	0.656484483	0.887675995	1.196833799	0.37953031	0.492798715	0.871188868	0.147910925	0	0.081867518	0.056544856	0.430413955	0.492755784	0.21910529	0.087188474	0.107142995
CPE	0	0.037173459	0.319833629	0.344392282	0.698710273	3.137728372	0.727716077	2.483494189	2.676847332	0.071696293	0.034063133	0.033304203	0.039926869	0	0	0	0	0.244865397
DDX60	0	0.260077235	0.028404966	0	0.273382372	0.288449043	0	0.090875873	0.123452718	0.086979081	0.251721208	0	0.022520977	0.202716927	0.064391632	0.009744084	0.127019924	0.157110194
DDX60L	0.274786484	0.359214846	0.129803978	0.081963897	0.230920185	0.553190473	0	0.200443305	0.204969249	0.339776546	0.433801847	0.098578389	0.114658175	0	0.132067455	0.059867142	0.09450729	0.121172671
PALLD	0.291986959	1.038424194	0.133352994	0.502006153	0.768615621	1.54378136	1.061231722	0.554700517	0.719914232	0.261792626	0.02993988	0.226642005	0.116244756	1.182316622	0.505372074	0.083547922	0.02407388	0
CBR4	0	0.530184497	0.301569027	0.389075411	0.408152526	0.788034068	0.206703701	0.412336434	0.523145077	0.175464312	0.073624201	0.080727023	0.098528407	0.16772575	0.215789339	0.555695602	0.454234221	0.799914358
SH3RF1	0.290650589	0.884917737	0.803646591	0.366192312	0.487848011	0.667084274	0.090264202	0.358278812	0.631328047	0.050232717	0.062129914	0.02998191	0.022884895	0	0	0.01047741	0.047261975	0
NEK1	0	0.20621362	0.164277797	0.193383236	0.197049658	0.603505169	0.118916131	0.291355785	0.499508482	0.079436767	0.035318212	0.090878732	0.033292113	0	0.061209402	0.16504184	0.059287616	0.558053875
CLCN3	0	0.574800883	0.441513966	0.181918053	0.325858223	0.560325167	0.098180605	0.294829285	0.451752628	0.097457375	0.141967097	0.049164034	0.065576474	0	0.189902918	0.077947017	0	0.266672722
C4orf27	0	0.955538377	0.719238103	1.055188051	0.854067901	1.845473681	1.293185766	1.829060981	2.379887936	0.524189408	0.351673306	0.64832601	0.372161036	0.862538165	0.556402339	1.162176316	0.811103961	1.729178243
GALNT7	0.601529603	0.464990327	0.198252589	0.095993386	0.200682344	0.582452912	0.183362879	0.209043235	0.429726006	0.133336937	0	0.032593729	0.049197689	0.162391734	0.042707624	0.051001245	0.074821992	0.151996305
HMGB2	1.931952261	2.737617404	1.681854452	3.2763981	2.388070101	2.677135416	1.714773623	1.309603386	1.441962082	1.076099904	0.938506067	3.193875517	0.761119892	1.938208499	1.308465835	3.352805781	4.669935728	7.294431556
RP11-798M19.6	0	0.159109689	0	0.199716007	0.270904717	0.329991932	0.065332463	0.076884979	0.126629928	0.036299701	0	0.114886209	0.069243349	0	0.042707624	0.110624899	0.113490987	0
SAP30	0	0.618668294	0.051028166	0.399202531	0.336293664	0.486793579	0.085636721	0.252536568	0.107480112	0.04188698	0.067361762	0.366141043	0.080055399	0	0.053118896	0.577360975	0.138026663	0.672162541
HAND2	0	0	0.020684187	0	0.105317144	1.377659189	0.083148834	1.038398845	1.284855929	0.007778462	0	0	0.010220254	0	0	0	0	0
HAND2-AS1	0	0	0.014224457	0	0.033241698	0.35402549	0.182478079	0.512629926	0.892583024	0.011231126	0	0	0.004204584	0	0	0	0	0
FBXO8	0.527677018	0.649437771	0.355777174	0.553279614	0.718703668	0.855389367	0.278357054	0.641574357	0.660989831	0.212319926	0.07096192	0.103715401	0.158147925	0	0.223580132	0.291237544	0.051603805	0
CEP44	0	0.27687791	0.075684726	0.359196477	0.32524851	0.350225484	0	0.156646639	0.194838717	0.074895583	0.02814974	0.211297591	0.023892895	0	0.175599673	0.241574631	0.229359225	0.418405539
HPGD	0	0.044740741	0.14517052	0.049553729	0.137908304	0.023731457	0.094562797	0.04856523	0.053739362	0.07206416	0	0.034111008	0.004009896	1.041821476	0	0.040844933	0.254588733	0.171157328
SPCS3	0.516642461	2.765548951	2.06926336	1.335720858	1.594995512	2.557888331	1.564560378	1.843096923	2.993722643	2.716645449	2.719218383	2.511868058	1.3037697	1.743133048	0.625515546	7.051348057	1.180082557	2.02020507
VEGFC	0	0.045340476	0	0.038187805	0.060599908	0.362247553	0	0.492172272	0.676161493	0.007305682	0	0	0.010304996	0	0	0	0	0
AGA	0.803090254	0.630608199	0.553484911	0.365739324	0.53646952	2.178804868	0.929866769	1.262381655	1.391167549	0.324329354	0.098262287	0.223824084	0.250946931	0.667741885	0.379731338	2.106908229	0.722796008	1.016660223
DCTD	2.692037717	2.904729497	1.473628756	1.159545898	1.544266453	2.793949172	2.408495762	1.839177428	2.34548526	0.684081345	0.532435165	0.66077522	0.484230307	0.877386682	1.221322486	1.455213678	0.789884773	1.700431152
WWC2	0	0.327857607	0.413090713	0.083095553	0.217024622	0.349070285	0.070947058	0.198503362	0.431987241	0.07880158	0.037054136	0	0.045934325	0	0.17637586	0.009314449	0	0
CDKN2AIP	0	0.400631551	0.876691282	0.907165418	1.049795211	0.525439919	0.078082382	0.236410746	0.363068271	0.146482644	0.100661725	0.052908694	0.074532563	0	0.049452732	0.351050186	0.278801117	1.229679202
ING2	0	1.362126725	1.756577714	1.538833008	1.455745664	1.165159289	0.195173937	0.826101025	0.969865021	0.414752497	0.388666811	0.506699053	0.53013233	0	0.19747224	0.533161546	0.518534856	1.34510779
RWDD4	0.482869376	1.243152008	1.016515653	0.867919883	0.763670234	0.994710473	0.683031144	0.619557985	1.176000143	0.27069716	0.236915433	0.250339524	0.186343841	0.244944381	0.376040674	0.760160931	0.698140803	0.528786909
TRAPPC11	0	0.111096662	0.454457763	0.048451315	0.166974226	0.161515035	0.092675212	0.092823876	0.166155392	0.084732955	0.171178221	0.026369752	0.025385195	0	0	0.038074706	0.070851741	0.19508479
RP11-290F5.1	0	0.022717631	0.011067246	0	0	0	0	0	0	0.008446272	0	0	0.001366264	0	0.20081451	0.718738439	0	0
IRF2	0.503325232	0.855314681	0.446882713	0.654151101	0.728970363	1.000252537	0.233333277	0.938525634	1.315728191	0.742024464	0.573462813	0.887053856	0.604236757	0.40843298	1.272978298	0.983983398	0.743129244	0.343853519
RP11-326I11.3	0	0.297689539	0.074143933	0.189616189	0.130200117	0.037502831	0	0.112567879	0.136115407	0.109509706	0.070175711	0.148774896	0.042002721	0	0.054889382	0.242026148	0.156510169	0
CASP3	0.276325769	0.832003554	0.488237584	1.006386944	0.670632702	1.452179573	0.887072013	0.821311085	1.164321296	0.304822025	0.164446906	0.315383302	0.212814017	0.186712969	0.571876478	1.86808457	0.591212966	1.448074525
PRIMPOL	0	0.34712411	0.101061964	0.297035965	0.213107337	0.541246979	0.190077117	0.246855756	0.389730738	0.087154425	0.128210432	0.110232514	0.044208081	0	0.055798566	0.295367239	0.280777622	0.427944618
CENPU	0.168146104	0.61044788	0.424005894	1.499476555	0.33422792	0.681549547	0.30803694	0.18447183	0.400693537	0.076359375	0.062088154	0.919280094	0.064514787	0	0.060732671	0.732256049	0.853754983	3.472678518
ACSL1	0.279293173	0.131481467	0.311735175	0.256387477	0.317051782	0.47494455	0.405276005	0.234362737	0.54961887	0.743890778	1.388022644	0.586096378	0.380662366	0	0.381384669	0.070122362	0.085907822	0.27614158
RP11-701P16.5	0	0	0.020753547	0.046328221	0	0.015475653	0	0.013494242	0.019598677	0.071483901	0.265507649	0.183428986	0.058266066	0	0	0	0	0
SLC25A4	0.566976358	3.078932007	2.22014689	2.740715876	2.357495399	3.249300087	2.578459925	2.126303005	2.701546059	0.09209973	0	0.044632741	0.068379962	0.368571324	0.122347663	3.015978569	0.04698029	0.689260295
KIAA1430	0	0.482208465	0.404028902	0.674982211	0.482732971	1.236437784	0.190333405	0.935895289	1.254882276	0.245181034	0.132422627	0.136959126	0.187081016	0.16772575	0.261315375	0.250016083	0.376332362	0.968145462
ANKRD37	0.215051343	1.049338901	0.509197603	1.198840522	0.906972993	2.176023548	0.272942834	1.129550727	1.070867943	0.283662683	0.13609374	0.367969107	0.462090751	0.318499099	0.252981637	1.39940567	0.348277787	0.124145275
UFSP2	0.556648139	0.927289681	0.501380857	0.698909001	1.240217247	2.434938523	1.349631854	2.045416192	2.533255312	0.52492085	0.2896016	0.321302996	0.274505506	0.196130818	0.422072407	1.968256381	0.472068544	1.011341981
C4orf47	0	0.121661897	0.288072478	0.531815499	0.167200204	0.405576061	0.113099784	0.339478858	0.517511583	0.015436328	0	0	0.015740667	0	0	0.051249322	0	0
PDLIM3	0	0.081858864	0.121398733	0.89823969	1.386218751	6.105890442	4.591593134	3.215767269	3.783123138	0.126438882	0.035993336	0	0.059025133	0	0.048672065	0.022529046	0	0.2591393
SORBS2	0	0.764279802	0.050507535	0.13460934	0.353985021	0.65979706	0.094074324	0.343617076	0.327435857	0.003870191	0	0	0	0	0	0.045602616	0	0
CYP4V2	0	0.194942022	0.12339137	0.038569673	0.145374308	0.155458226	0.092584388	0.109293381	0.274378282	0.071004788	0.177307393	0.159425783	0.088712162	0	0.06709225	0.068092267	0.035959499	0.161844378
FAT1	0	0.839484862	0.394204016	0.213057764	0.137733743	0.863461511	0	0.635351117	0.71785441	0.006381369	0.063970519	0.021455934	0.005718753	0	0	0	0	0
FRG1	0.433383499	1.29093569	1.258528564	1.803832322	1.742200035	1.705476792	0.452585831	1.539115703	2.047581379	1.21078711	1.222427163	0.926332895	0.71414491	1.470115247	0.890568309	1.509478148	1.14972332	2.316074066
CCDC127	0	0.646354605	0.609748477	0.811918866	1.095171772	1.352132227	0.242960679	0.924321052	1.273552188	0.284044713	0.167307088	0.125529651	0.170755681	0.21182902	0.107234893	0.516596122	0.235051416	0.386389016
SDHA	0.561287629	1.045812894	2.581518828	1.410023723	1.924766247	2.401256443	1.335526426	1.44746075	2.37160395	0.798955605	0.615753805	0.526452723	0.308779379	0.635987776	0.647695537	2.008290882	0.929749745	2.671973561
PDCD6	2.988422208	4.711652086	5.469772848	4.04712489	4.444654255	4.341795051	2.811888155	4.016271428	4.784326478	2.738393477	2.437063671	2.706064819	1.818452845	2.566976666	2.83800507	2.297285659	2.967780789	3.278395426
C5orf55	0	0.267618372	0.175740333	0.246182687	0.49062576	0.23389992	0.110719024	0.159115904	0.262326501	0.077101071	0.043131337	0.032741374	0.056260918	0	0.053807229	0.134126429	0.107328191	0
EXOC3	0	0.575421653	1.096961274	0.624977585	0.568342874	0.768183217	0.567483227	0.492486437	1.059554308	0.468141867	0.173511985	0.341235507	0.228417533	0.528805733	0.233826065	0.231345638	0.281702646	0.363993702
CTD-2228K2.5	0	0.525946162	0.444403223	0.766586518	0.952680594	0.480182971	0.070947058	0.283569442	0.483989512	0.05731003	0	0.053793718	0.013725454	0.202614429	0	0.127786264	0.115796646	0.293975401
BRD9	0.216469018	0.748409574	1.232085116	0.387448767	0.79440985	0.715180869	0.263007244	0.351538732	0.710823715	0.323296065	0.16898108	0.270219681	0.094254648	0.176723413	0.310911036	0.336958543	0.339739835	0.569945609
TRIP13	0.282008564	0.570413598	0.628593877	0.794953096	0.599752612	1.062123692	0.645496092	0.116169961	0.589798376	0.043429232	0	0.180536747	0.005059321	0.190565538	0	0.723624675	0.212819925	0.775934893
SLC12A7	0	0.635666655	1.067296207	0.373373371	0.802473486	0.393572463	0.092675212	0.157561736	0.359470821	0.310420317	0.372338217	0.494966048	0.49739832	0.318499099	0.062152858	0.051974064	0.044946237	0.173693523
CLPTM1L	0.215051343	1.319316755	1.626555826	0.579699063	0.592454576	0.524011411	0.358745586	0.383077119	0.84505253	0.397327303	0.505737594	0.329874008	0.242619547	0	0.160168023	1.715551518	0.240669124	0.311890634
LPCAT1	0	0.642649287	0.952565371	0.458480296	0.555890825	0.656599913	0.186895252	0.352705909	0.703836689	0.768497547	0.570594779	0.618617315	0.705718423	0	0.497950629	0.23848102	0.507267206	0
MRPL36	0.420157825	3.133676142	3.34407424	2.90681052	2.802150317	3.157884107	1.953239359	2.829074838	3.584266007	1.521501777	1.083867498	1.588372851	0.812705436	1.213887252	0.783647371	2.86358855	0.977218727	2.160042057
NDUFS6	2.941201683	4.293388407	5.154472989	4.472848669	3.514681102	3.276764025	2.730310871	3.142614374	3.847352741	3.281889783	2.911693911	4.144144436	2.457682728	2.121124423	1.550139912	4.874229838	2.475383388	4.072783239
ADAMTS16	0	0.010962113	0	0	0.006429695	0.142254676	0	0.25086914	0.090678247	0.002741869	0	0	0.001323399	0	0	0	0	0
KIAA0947	0	0.255206995	0.512767639	0.369986228	0.396377015	0.222155849	0	0.227281885	0.308186505	0.135044095	0.124953148	0.098953576	0.049095619	0	0.132532538	0.164082275	0.111641277	0
MED10	0	1.240584274	1.473298887	3.187924841	4.12407861	3.546862032	2.298594833	3.088407127	3.480764944	1.74149274	1.533462229	1.22857352	1.011327187	1.30355957	2.232997292	2.013100016	2.045544762	2.110582699
NSUN2	0.224032059	0.885719848	1.108278166	0.507395274	1.352315432	0.849436506	0.407832887	0.374851784	1.110456537	0.413168924	0.242680553	0.089778344	0.080099791	0	0.366502216	0.530248597	0.412358401	0.704539574
SRD5A1	0	0.58256236	1.017549405	0.469637298	0.378773692	0.762567976	0.204143593	0.360761265	0.394421125	0.10939216	0.174814599	0.191275168	0.066644538	0	0.277492536	0.091692582	0.240698787	0.142390328
PAPD7	0	0.142878217	0.394793597	0.165616938	0.124402646	0.136296672	0	0.094976392	0.152522454	0.079904884	0.137010363	0.096069732	0.080592914	0	0	0.030609311	0.027241431	0
C5orf49	0	0.04416934	0.610475765	0.701057689	0.242233637	0.329774954	0.106014824	0.251114766	0.225580926	0.006781145	0	0	0.002894737	0	0	0	0	0
MTRR	0	0.118430617	0.263020532	0.381810733	0.712683623	0.509700266	0.070433414	0.564919439	1.133660002	0.114785423	0.032703782	0.052145054	0.035975919	0	0	0.297799945	0.141624986	0.0848372
FASTKD3	0	0.334194045	0.109834057	0.494614538	0.395963506	0.710489082	0.170928691	0.511512751	0.654284279	0.183912963	0.147569787	0.166776677	0.109610167	0	0.074068406	0.190378831	0.168265369	0.144663922
MIR4458HG	0	0.494721806	1.755605159	1.116527112	1.249959454	0.632146783	0.064515834	0.313715055	0.749876825	0.310200494	0.153474585	0.238490412	0.148030498	0	0.116314542	0.115057616	0.063431947	0
SEMA5A	0	0.025619055	0.130286625	0.078640349	0.072488951	0.143585909	0.085937708	0.541948361	0.767828782	0.013877003	0.076651065	0	0.007196207	0	0	0	0	0
